A-18129-73408       ACUITY BRANDS LIGHTINGGA                  116,043.00          
A-18019-33438       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33207       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33415       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18044-43084       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18040-41849       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18068-51010       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18068-51061       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18068-51080       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18068-51039       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18068-51081       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33232       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33382       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33379       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33221       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33259       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33368       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18018-33042       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33364       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33346       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33290       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18018-33015       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33303       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18018-32983       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18018-32989       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33323       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33162       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33175       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33189       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33158       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33192       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33173       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18019-33165       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
A-18079-54565       APLOMB TECHNOLOGIES, INCNJ                  86,715.00           
A-18089-57769       TATA CONSULTANCY SERVICES LIMITEDNY                  106,954.00          
